gara2,gara-gara
mending,lebih baik
nendang,berasa
remang2,remang
menu2,menu
sifut,makanan laut
nuggu,menunggu
pencet,tekan
teman2,teman
mrh2,marah
bngat,banget
lombok,cabe
komplain,keluhan
rapih,rapi
smootise,minuman
manggo,mangga
soldout,habis
cas,biaya
unexpectedly,tidak terduga
customer,pelanggan
main point,poin utama
proper,layak
so far so good,sejauh ini bagus
ready,siap
share,berbagi
briefing,rapat
event,acara
slow respon,lambat
follow up,tindak lanjut
training,pelatihan
owner,pemilik
not bad,lumayan
tdmpatnya,tempat
pelayanananya,pelayanan
pelayanax,pelayan
pelayanam,pelayanan
suasanax,suasana
cabanv,cabang
sevicenya,pelayanan
pelyanan,pelayanan
pelynan,pelayanan
suananya,suasana
smeoga,semoga
mksihh,makasih
sngat,sangat
popoknya,pokoknya
wuarbiassa,luar biasa
pelayananax,pelayanan
roomx,ruangan
porsix,porsi
teamx,tim
waitersx,pelayan
manisx,manis
spy,supaya
mkn,makan
sna,sana
tiba2,tiba-tiba
nyamperin,mendatangi
mubassir,mubazir
nongki2,nongkrong
just,jus
poll,enak
nguras,menguras
family time,waktu keluarga
sni,sini
next,selanjutnya
with,dengan
whort it,sepadan
&,dan
dessert,makanan penutup
deasert,makanan penutup
next time,lain kali
seerti,seperti
alfokat,alpukat
makananny,makanan
pelayanny,pelayanan
rekomendi,rekomendasi
lesahan,lesehan
tmpatnya,tempat
recomeded,rekomendasi
aplagi,apalagi
pelayananan,pelayanan
temptx,tempat
maknnx,makanan
dulanh,duluan
padhal,padahal
sabgat,sangat
rocomended,rekomendasi
wakeend,akhir pekan
tengkyuu,makasih
requesan,permintaan
sx,sekali
liat,lihat
nnti,nanti
slalu,selalu
leadr,pemimpin
ngajak,mengajak
laper,lapar
bgd,banget
kek,seperti
super duper,sangat
nih,ini
nihh,ini
sat set,sigap
ngedate,kencan
stiap,setiap
and,dan
maybe,mungkin
quality time,waktu berkualitas
excellent,prima
weekend,akhir pekan
list,daftar
nunggun,menunggu
yummi,enak
mendulung,mendukung
sesuau,sesuai
colom,kolam
misic,musik
bersij,bersih
nyantai,santai
pokoke,pokoknya
kzl,kesal
meetup,pertemuan
welcome,selamat datang
so-so,biasa saja
kiddos,anak-anak
gengs,teman-teman
corporate,perusahaan
elegant,elegan
live music,musik langsung
hijenis,higienis
mantaf,mantap
tenpat,tempat
ojol,ojek online
lowbat,baterai lemah
snack,makanan ringan
gathering,pertemuan
indoor,di dalam ruangan
homey,nyaman
cuy,bro
seret,lambat
topmarkotop,terbaik
lezzaatooo,lezat
bestt,best
bangett,banget
bangeet,banget
sangatt,sangat
baikk,baik
ramahh,ramah
cepatt,cepat
ademm,adem
standart,standar
fressh,fresh
kelurga,keluarga
cepet,cepat
jt,juta
dng,dengan
dg,dengan
rb,ribu
dn,dan
dri,dari
ats,atas
mb,mbak
tx,terima kasih
ckup,cukup
ttp,tetap
gtu,begitu
smoga,semoga
apalgi,apalagi
orgnya,orangnya
mkanannya,makanannya
management,manajemen
managernya,manajernya
favorite,favorit
standard,standar
abis,habis
ahrus,harus
ampe,sampai
nyampe,sampai
asem,asam
asik,asyik
asiek,asyik
baek,baik
bamget,banget
bangat,banget
bangetz,banget
buanget,banget
cobah,coba
cobe,coba
datag,datang
dtang,datang
deket,dekat
dikit,sedikit
ehehe,haha
hehehe,haha
hihihi,haha
enaka,enak
uenak,enak
engak,tidak
ngak,tidak
excelent,luar biasa
exelent,luar biasa
gangu,mengganggu
mengangu,mengganggu
gatau,tidak tahu
gede,besar
gimana,bagaimana
godjob,kerja bagus
goid,bagus
gud,bagus
gt,begitu
hapy,senang
higyenis,higienis
jngan,jangan
kesel,kesal
kwalita,kualitas
lagy,lagi
lambt,lambat
langanan,pelanggan
langgan,pelanggan
lezato,lezat
luama,lama
lumanyan,lumayan
malem,malam
males,malas
malaska,malas
mamntap,mantap
mantablah,mantap
mantanp,mantap
